Vial,Day,Numbfemales,Date,Initials,Notes
23,B,10,10/29,,
9,B,5,10/29,,
12,B,3,10/29,,
13,B,6,10/29,,
22,B,1,10/29,,
26,B,5,10/29,,
16,B,10,10/29,,
1,B,5,10/29,,
37,B,13,10/29,,
5,B,17,10/29,,
18,B,13,10/29,,
29,B,12,10/29,,
7,B,10,10/29,,
20,B,5,10/29,,
26,C,6,10/29,NRR,
29,C,6,10/29,NRR,
32,C,21,10/29,NRR,
31,C,14,10/29,NRR,
30,C,28,10/29,NRR,
44,C,5,10/29,NRR,
25,C,15,10/29,NRR,
48,C,11,10/29,NRR,
15,C,5,10/29,NRR,
12,C,4,10/29,NRR,
9,C,7,10/29,NRR,
13,C,17,10/29,NRR,
8,C,9,10/29,NRR,
7,C,3,10/29,NRR,
24,C,9,10/29,NRR,
23,C,8,10/29,NRR,
6,C,2,10/29,NRR,
36,C,6,10/29,NRR,
22,C,16,10/29,NRR,
1,C,8,10/29,NRR,
2,C,17,10/29,NRR,
18,C,4,10/29,NRR,
21,C,13,10/29,NRR,
19,C,20,10/29,NRR,
20,C,11,10/29,NRR,
5,C,25,10/29,NRR,
34,C,16,10/29,NRR,
16,C,15,10/29,NRR,
35,C,12,10/29,NRR,
17,C,13,10/29,NRR,
2,X,0,10/29,KEW,
4,X,13,10/29,KEW,
5,X,14,10/29,KEW,
6,X,17,10/29,KEW,
8,X,24,10/29,KEW,
9,X,18,10/29,KEW,
11,X,24,10/29,KEW,
13,X,3,10/29,KEW,
14,X,10,10/29,KEW,
19,X,8,10/29,KEW,
21,X,6,10/29,KEW,
23,X,14,10/29,KEW,
24,X,8,10/29,KEW,
25,X,13,10/29,KEW,
45,X,7,10/29,KEW,
47,X,5,10/29,KEW,
54,X,5,10/29,KEW,
58,X,9,10/29,KEW,
2,B,1,10/29,KEW,
5,B,10,10/29,KEW,
6,B,2,10/29,KEW,
8,B,7,10/29,KEW,
9,B,2,10/29,KEW,
15,B,0,10/29,KEW,
16,B,3,10/29,KEW,
