Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,1,1,UHA,
9.Tem,1,A,1,1,1,0,1,UHA,
9.Tem,1,A,1,1,1,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,1,1,0,0,UHA,
9.Tem,1,A,1,1,1,1,0,UHA,
9.Tem,1,A,1,1,1,1,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,1,1,1,0,UHA,
9.Tem,1,A,1,1,1,1,0,UHA,
9.Tem,1,A,1,1,1,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,1,0,UHA,
9.Tem,1,A,1,0,0,0,1,UHA,
9.Tem,1,A,1,1,1,1,0,UHA,
9.Tem,1,A,1,0,0,0,0,UHA,
9.Tem,1,A,1,1,1,0,1,UHA,
9.Tem,3,A,1,0,0,0,0,UHA,
9.Tem,3,A,1,0,0,0,0,UHA,
9.Tem,3,A,1,0,0,0,1,UHA,
9.Tem,3,A,1,1,1,0,0,UHA,
9.Tem,3,A,1,0,0,0,1,UHA,
9.Tem,3,A,1,0,0,1,0,UHA,
9.Tem,3,A,1,0,0,1,0,UHA,
9.Tem,3,A,1,0,0,0,1,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,1,0,HNT,
9.Tem,3,A,1,0,0,0,1,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,0,1,HNT,
9.Tem,3,A,1,1,1,0,0,HNT,
9.Tem,3,A,1,1,1,0,0,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,1,1,HNT,
9.Tem,3,A,1,0,0,1,1,HNT,
9.Tem,3,A,1,0,0,0,0,HNT,
9.Tem,3,A,1,0,0,0,1,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,0,1,HNT,
9.Tem,4,A,1,1,1,0,0,HNT,
9.Tem,4,A,1,1,1,1,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,0,1,HNT,
9.Tem,4,A,1,1,1,0,1,HNT,
9.Tem,4,A,1,1,1,1,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,0,0,1,0,HNT,
9.Tem,4,A,1,1,1,1,1,HNT,
9.Tem,4,A,1,1,1,1,0,HNT,
9.Tem,4,A,1,1,1,0,0,HNT,
9.Tem,4,A,1,1,1,1,1,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,1,1,0,1,HNT,
9.Tem,4,A,1,0,0,1,0,HNT,
9.Tem,4,A,1,0,0,0,1,HNT,
9.Tem,4,A,1,1,1,1,0,HNT,
9.Tem,4,A,1,0,0,1,0,HNT,
9.Tem,4,A,1,0,0,0,0,HNT,
9.Tem,4,A,1,1,1,0,0,HNT,
9.Tem,4,A,1,0,0,1,1,HNT,
9.Tem,4,A,1,0,0,1,0,HNT,
9.Tem,4,A,1,1,1,1,0,HNT,
9.Tem,4,A,1,1,1,1,1,HNT,
9.Tem,4,A,1,1,1,1,1,HNT,
9.Tem,4,A,1,0,0,1,0,HNT,
9.Tem,5,A,1,0,0,0,0,HNT,
9.Tem,5,A,1,0,0,0,1,UHA,
9.Tem,5,A,1,0,0,1,1,UHA,
9.Tem,5,A,1,1,1,0,1,UHA,
9.Tem,5,A,1,0,0,0,1,UHA,
9.Tem,5,A,1,1,1,0,1,UHA,
9.Tem,5,A,1,0,0,1,0,UHA,
9.Tem,5,A,1,1,1,1,1,UHA,
9.Tem,5,A,1,1,1,1,1,UHA,
9.Tem,5,A,1,0,0,1,1,UHA,
9.Tem,5,A,1,1,1,1,0,UHA,
9.Tem,5,A,1,0,0,1,1,UHA,
9.Tem,5,A,1,1,1,1,0,UHA,
9.Tem,5,A,1,0,0,1,0,UHA,
9.Tem,5,A,1,0,0,1,1,UHA,
9.Tem,5,A,1,0,0,1,0,UHA,
9.Tem,5,A,1,1,1,0,0,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
9.Tem,5,A,1,1,1,0,0,UHA,
9.Tem,5,A,1,0,0,0,1,UHA,
9.Tem,5,A,1,0,0,0,0,UHA,
