Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
20-Jul,32,B,4,6,6,0,5,0,1,SBL
20-Jul,34,B,0,2,2,0,1,0,1,SBL
20-Jul,35,B,1,5,5,2,0,2,1,SBL
20-Jul,36,B,0,1,1,0,0,1,0,SBL
20-Jul,37,B,1,3,3,0,0,2,1,SBL
20-Jul,39,B,0,5,5,0,3,2,0,SBL
20-Jul,42,B,6,6,6,0,5,0,1,SBL
20-Jul,59,B,0,2,2,1,0,0,1,SBL
20-Jul,62,B,2,4,4,1,0,0,3,SBL
20-Jul,67,B,1,1,1,0,0,0,1,SBL
20-Jul,69,B,0,1,1,0,1,0,0,SBL
20-Jul,70,B,0,3,3,1,0,0,2,SBL
20-Jul,72,B,4,6,6,3,1,1,1,SBL
20-Jul,73,B,13,7,7,0,2,1,4,SBL
20-Jul,75,B,1,0,0,0,0,0,0,SBL
20-Jul,78,B,3,7,7,1,3,0,3,SBL
20-Jul,79,B,6,9,9,2,4,1,2,SBL
20-Jul,80,B,2,1,1,0,1,0,0,SBL
20-Jul,30,C,0,1,1,0,1,0,0,SBL
20-Jul,38,C,4,1,1,1,0,0,0,SBL
20-Jul,56,C,1,2,2,0,1,0,1,SBL
20-Jul,57,C,0,1,1,0,0,0,1,SBL
20-Jul,63,C,3,7,7,2,4,0,1,SBL
20-Jul,65,C,1,1,1,0,0,0,1,SBL
20-Jul,66,C,1,3,3,0,1,2,0,SBL
20-Jul,73,C,6,8,8,2,3,1,2,SBL
20-Jul,75,C,0,2,2,1,1,0,0,SBL
20-Jul,77,C,0,5,5,0,4,1,0,SBL
20-Jul,80,C,2,0,0,0,0,0,0,SBL
20-Jul,6,D,3,1,1,0,0,1,0,SBL
20-Jul,12,D,4,5,5,1,2,1,1,SBL
20-Jul,22,D,6,3,3,0,2,0,1,SBL
20-Jul,24,D,3,2,2,0,1,0,1,SBL
20-Jul,39,D,2,0,0,0,0,0,0,SBL
20-Jul,44,D,0,2,2,0,0,2,0,SBL
20-Jul,46,D,4,6,6,0,2,2,2,SBL
20-Jul,61,D,4,4,4,1,1,1,1,SBL
20-Jul,67,D,0,1,1,0,1,0,0,SBL
20-Jul,75,D,7,2,2,0,1,0,1,SBL
20-Jul,1,E,1,0,0,0,0,0,0,SBL
20-Jul,2,E,1,1,1,0,1,0,0,SBL
20-Jul,6,E,1,2,2,0,1,1,0,SBL
20-Jul,11,E,4,8,8,3,2,2,1,SBL
20-Jul,13,E,0,2,2,0,1,0,1,SBL
20-Jul,26,E,9,3,3,1,1,1,0,SBL
20-Jul,27,E,5,5,5,0,2,1,2,SBL
20-Jul,28,E,1,1,1,0,0,1,0,SBL
20-Jul,30,E,0,2,2,0,1,1,0,SBL
20-Jul,31,E,1,0,0,0,0,0,0,SBL
20-Jul,32,E,1,3,3,0,1,1,1,SBL
20-Jul,33,E,4,2,2,0,2,0,0,SBL
20-Jul,34,E,11,4,4,1,1,2,0,SBL
20-Jul,40,E,1,1,1,1,0,0,0,SBL
20-Jul,44,E,1,6,6,0,2,2,2,SBL
20-Jul,55,E,7,5,5,0,2,2,1,SBL
20-Jul,58,E,1,0,0,0,0,0,0,SBL
20-Jul,64,E,2,2,2,0,0,1,1,SBL
