Vial,Day,Numbfemales,Date,Initials,Notes
95,A,21,9/16,AKT,
96,A,7,9/16,AKT,
89,A,9,9/16,AKT,
90,A,8,9/16,AKT,
91,A,13,9/16,AKT,
92,A,21,9/16,AKT,
84,A,11,9/16,AKT,
85,A,12,9/16,AKT,
87,A,2,9/16,AKT,
60,A,6,9/16,AKT,
62,A,6,9/16,AKT,
63,A,13,9/16,AKT,
64,A,2,9/16,AKT,
65,A,9,9/16,AKT,
79,A,20,9/16,AKT,
80,A,18,9/16,AKT,
81,A,5,9/16,AKT,
82,A,8,9/16,AKT,
88,A,14,9/16,AKT,
76,A,13,9/16,AKT,
77,A,12,9/16,AKT,
66,A,13,9/16,AKT,
67,A,22,9/16,AKT,
71,A,18,9/16,AKT,
73,A,10,9/16,AKT,
55,A,3,9/16,AKT,
56,A,5,9/16,AKT,
59,A,1,9/16,AKT,
75,A,8,9/16,AKT,
1,A,1,9/16,AKT,
3,A,1,9/16,AKT,
13,A,4,9/16,AKT,
34,A,1,9/16,AKT,
40,A,2,9/16,AKT,
51,A,5,9/16,AKT,
52,A,9,9/16,AKT,
50,A,12,9/16,AKT,
41,A,3,9/16,AKT,
3,C,12,9/15,AKT,
9,C,22,9/15,AKT,
3,C,7,9/15,AKT,
4,C,7,9/15,AKT,
5,C,4,9/15,AKT,
13,C,5,9/15,AKT,
12,C,10,9/15,AKT,
13,C,19,9/15,AKT,
14,C,5,9/15,AKT,
6,C,6,9/15,AKT,
37,C,7,9/15,AKT,
26,C,6,9/15,AKT,
6,C,32,9/15,AKT,
43,C,20,9/15,AKT,
38,C,19,9/16,KEW,flies stuck in food
37,C,6,9/16,KEW,flies stuck in food
33,C,2,9/16,KEW,flies stuck in food
27,C,3,9/16,KEW,flies stuck in food
51,C,3,9/16,KEW,fly stuck in food
55,C,7,9/16,KEW,fly stuck
52,C,4,9/16,KEW,
39,C,3,9/16,KEW,
36,C,5,9/16,KEW,
53,C,10,9/16,KEW,
6,C,9,9/16,KEW,
37,C,11,9/16,KEW,
40,C,8,9/16,KEW,
35,C,5,9/16,KEW,
60,C,19,9/16,KEW,
4,C,9,9/16,KEW,
19,C,7,9/16,KEW,
22,C,2,9/16,KEW,
8,C,6,9/16,KEW,
5,C,4,9/16,KEW,
21,C,6,9/16,KEW,
52,C,6,9/16,KEW,
43,C,12,9/16,KEW,
9,C,10,9/16,KEW,
18,C,4,9/16,KEW,
50,C,23,9/16,KEW,
39,C,5,9/16,KEW,
16,C,3,9/16,KEW,
27,C,7,9/16,KEW,
55,C,18,9/16,KEW,
38,C,6,9/16,KEW,
56,C,10,9/16,KEW,
66,A,14,9/13,HNT,
75,A,28,9/13,HNT,
79,A,14,9/13,HNT,
71,A,21,9/13,HNT,
76,A,30,9/13,HNT,
29,A,5,9/13,ABK,one dead in food
1,A,9,9/13,ABK,one dead in food
68,A,18,9/13,ABK,one dead in food
69,A,14,9/13,ABK,two dead in food
34,A,7,9/13,ABK,3 dead in food
54,A,10,9/13,ABK,5 dead in food
64,A,15,9/13,ABK,2 dead in food
70,A,35,9/13,ABK,
63,A,12,9/13,UHA,
77,A,15,9/13,UHA,4 died in food
59,A,8,9/13,UHA,
60,A,29,9/13,UHA,
51,A,8,9/15,UHA,
61,A,8,9/15,UHA,
52,A,10,9/15,UHA,
40,A,14,9/15,UHA,
64,A,12,9/15,UHA,
71,A,8,9/15,UHA,
94,A,5,9/15,UHA,8 dead
77,A,3,9/15,UHA,
87,A,25,9/15,UHA,
57,A,3,9/15,UHA,
66,A,8,9/15,UHA,
86,A,13,9/15,UHA,
76,A,8,9/15,UHA,
70,A,32,9/15,UHA,
80,A,9,9/15,UHA,
88,A,27,9/15,UHA,6 dead flies
90,A,23,9/15,UHA,
79,A,4,9/15,UHA,
89,A,5,9/15,UHA,
59,A,5,9/15,UHA,
19,A,3,9/15,UHA,
50,A,8,9/15,UHA,3 dead flies
60,A,5,9/15,UHA,
3,D,3,9/15,UHA,
9,D,9,9/15,UHA,
4,D,8,9/15,UHA,
1,D,14,9/15,UHA,12 dead flies
13,D,10,9/15,UHA,
12,D,11,9/15,UHA,
56,A,18,9/14,UHA,
50,A,22,9/14,UHA,
14,A,13,9/14,UHA,
55,A,7,9/14,UHA,
59,A,8,9/14,UHA,
66,A,10,9/14,UHA,
53,A,11,9/14,UHA,
69,A,4,9/14,UHA,
85,A,3,9/14,UHA,
65,A,5,9/14,UHA,
61,A,8,9/14,UHA,
92,A,9,9/14,UHA,
87,A,10,9/14,UHA,
96,A,20,9/14,UHA,
39,A,18,9/14,UHA,
64,A,17,9/14,UHA,
56,A,18,9/14,UHA,
